1852-53,---
1853-54,---
1854-55,---
1855-56,118
1856-57,151
1857-58,121
1858-59,96
1859-60,110
1860-61,117
1861-62,132
1862-63,104
1863-64,125
1864-65,118
1865-66,125
1866-67,123
1867-68,110
1868-69,127
1869-70,131
1870-71,99
1871-72,126
1872-73,144
1873-74,136
1874-75,126
1875-76,91
1876-77,130
1877-78,62
1878-79,112
1879-80,99
1880-81,161
1881-82,78
1882-83,124
1883-84,119
1884-85,124
1885-86,128
1886-87,131
1887-88,113
1888-89,88
1889-90,75
1890-91,111
1891-92,97
1892-93,112
1893-94,101
1894-95,101
1895-96,91
1896-97,110
1897-98,100
1898-99,130
1899-00,111
1900,107
1901,105
1902,89
1903,126
1904,108
1905,97
1906,94
1907,83
1908,106
1909,98
1910,101
1911,108
1912-13,99
1913-14,88
1914-15,115
1915-16,102
1916-17,116
1917-18,115
1918-19,82
1919-20,110
1920-21,81
1921-22,96
1922-23,125
1923-24,104
1924-25,105
1925-26,124
1926-27,103
1927-28,106
1928-29,96
1929-30,107
1930-31,98
1931-32,65
1932-33,115
1933-34,91
1934-35,94
1935-36,101
1936-37,121
1937-38,105
1938-39,97
1939-40,105
1940-41,96
1941-42,82
1942-43,116
1943-44,114
1944-45,92
1945-46,98
1946-47,101
1947-48,104
1948-49,96
1949-50,109
1950-51,122
1951-52,114
1952-53,81
1953-54,85
1954-55,92
1955-56,114
1956-57,111
1957-58,95
1958-59,126
1959-60,105
1960-61,108
1961-62,117
1962-63,112
1963-64,113
1964-65,120
1965-66,65
1966-67,98
1967-68,91
1968-69,108
1969-70,113
1970-71,110
1971-72,105
1972-73,97
1973-74,105
1974-75,107
1975-76,88
1976-77,115
1977-78,123
1978-79,118
1979-80,99
1980-81,93
1981-82,96
1982-83,54
1983-84,111
1984-85,85
1985-86,107
1986-87,89
1987-88,87
1988-89,97
1989-90,93
1990-91,88
1991-92,99
1992-93,108
1993-94,94
1994-95,74
1995-96,119
1996-97,102
1997-98,47
1998-99,82
1999-00,53
2000,115
2001,21
2002,89
2003,80
2004,101
2005,95
2006,66
2007,106
2008,97
2009,87
2010,109
2011,57
2012,87
2013,117
2014,91
2015,62
2016,65
2017,94
2018,86
2019,70
